Building Name,Typology Group,Typology,Sub-Type Group,SubType,GFA,Avg_Daily_Occupants,Audit 1,Audit 2,Audit 3,Audit 4,Audit 5,Total_Waste,Audit_Avg,Waste Production Category
B1887G,5,Industrial,12,Manufacturing,18767,335,1265,1146,1086,1275,1280,6052,1210,Moderate Waste Production (1000-1500KG)
B1940Y,3,Educational,7,Nurseries,6274,272,860,643,663,729,890,3785,757,Low Waste Production (500-1000KG)
B1131Z,2,Residential,4,Landed Property,2844,5,11,12,11,12,13,59,12,Lowest Waste Production (<500KG)
B1589F,4,Institutional,11,Fire Station,10812,240,231,333,300,367,234,1465,293,Lowest Waste Production (<500KG)
B1392S,6,Storage,15,Garage,125363,250,775,970,1110,1001,776,4632,926,Low Waste Production (500-1000KG)
B1236S,4,Institutional,10,Police Station,8532,170,822,786,1003,820,715,4146,829,Low Waste Production (500-1000KG)
B1497V,5,Industrial,12,Manufacturing,19686,288,1243,1267,1091,1268,1296,6165,1233,Moderate Waste Production (1000-1500KG)
B1551R,4,Institutional,9,Airport,100273,22179,3614,3906,5181,4821,5965,23487,4697,Highest Waste Production (>3500KG)
B1211P,4,Institutional,9,Airport,101494,21840,4341,5014,4072,5789,3528,22744,4549,Highest Waste Production (>3500KG)
B1584R,6,Storage,15,Garage,127155,347,1198,995,916,1166,1252,5527,1105,Moderate Waste Production (1000-1500KG)
B1211I,3,Educational,8,Student residences,10523,7541,1024,1077,1146,1033,1134,5414,1083,Moderate Waste Production (1000-1500KG)
B1989L,4,Institutional,10,Police Station,8250,197,1070,857,870,815,1015,4627,925,Low Waste Production (500-1000KG)
B1275C,2,Residential,4,Landed Property,2041,9,12,15,12,13,15,67,13,Lowest Waste Production (<500KG)
B1894O,5,Industrial,12,Manufacturing,18537,570,1277,1063,1114,1238,1084,5776,1155,Moderate Waste Production (1000-1500KG)
B1887Z,4,Institutional,11,Fire Station,10518,193,391,293,303,257,360,1604,321,Lowest Waste Production (<500KG)
B1277A,2,Residential,5,Apartment,1476,2,6,11,10,10,6,43,9,Lowest Waste Production (<500KG)
B1386J,3,Educational,8,Student residences,10197,6172,1046,1131,1185,1162,1165,5689,1138,Moderate Waste Production (1000-1500KG)
B1249B,3,Educational,8,Student residences,11618,8359,1036,1117,1061,1195,1053,5462,1092,Moderate Waste Production (1000-1500KG)
B1170J,5,Industrial,13,Data Center,93768,350,553,273,349,455,563,2193,439,Lowest Waste Production (<500KG)
B1590U,3,Educational,6,University,32400,27213,589,731,825,444,618,3207,641,Low Waste Production (500-1000KG)
B1212I,5,Industrial,12,Manufacturing,19353,580,1025,1272,1123,1179,1127,5726,1145,Moderate Waste Production (1000-1500KG)
